usuario,op,co,ex,ag,ne,wordcount,categoria
aguerosergiokun,44.986841999999996,20.525865,37.938947,24.279098,10.362406,78.797,7
albertochicote,41.733854,13.745417000000002,38.999896,34.645521,8.836979,49.2604,4
AlejandroSanz,40.377154,15.377462,52.337538,31.082154,5.0322309999999995,80.4538,2
alfredocasero1,36.66467700000001,19.642257999999998,48.530806,31.138871,7.305967999999999,47.0645,4
alo_oficial,33.531771,16.183957999999997,43.211667,25.786667,11.930417,40.1354,7
andresiniesta8,31.851102,13.735591000000001,47.182362,19.594331,6.905591,91.5197,7
andykusnetzoff,31.865118,16.58811,55.377559,36.258346,7.464646000000001,66.2835,5
andyroddick,46.393488,25.451163,39.93031,16.658062,8.452791,145.1473,7
andy_murray,39.436667,26.135303,32.966288,32.291591,10.956591,177.5606,7
AngelAlessandra,52.750992000000004,24.706564999999998,41.698855,17.057176000000002,8.279847,97.2901,3
antoniobanderas,41.328182,20.241212,39.173333,21.070504999999997,7.8235350000000015,32.8788,1
aplusk,54.407727,26.992121,34.104318,18.771818,8.867197,125.3409,1
AvrilLavigne,47.610076,20.343788,39.439545,21.438409,8.865302999999997,128.8561,2
BarackObama,39.435148999999996,20.091791,41.47940300000001,21.004104,13.806343,178.1866,8
BarRefaeli,48.617348,21.165758,43.617955,19.263258,5.176515,58.5833,3
Berto_Romero,40.073543,25.933386,44.194724,33.921417,8.781889999999999,49.2756,4
BillGates,43.37292,24.363357999999998,43.792263,21.067737,11.348613,201.0511,6
britneyspears,49.792403,19.214496,41.435581,16.433953,7.039766999999999,109.6434,2
Buenafuente,30.020465,14.699612,44.29969000000001,39.117984,5.91062,70.1395,4
CarlosAuryn,36.90945900000001,23.628649,51.947297,34.687568,6.73027,38.1081,2
carmenelectra,50.594462,19.282538,41.383154,17.896538,11.225692,143.8231,3
Carrie_Br4dshaw,34.186667,14.967082999999999,18.693542,9.682292,7.200208,5.0208,3
CasillasWorld,31.215455,17.506364,44.180909,32.87,9.378182,87.8182,7
celinedion,47.27686,29.77314,41.973372,12.401860000000001,7.285116,79.4186,2
cesarmillan,45.369772999999995,23.932197,35.92590900000001,23.478258,8.448409,159.7727,4
CFKArgentina,35.943438,22.848281,45.519531,28.02125,6.521172,75.5156,8
charliesheen,36.272348,15.037348000000001,40.06515200000001,28.706894000000002,12.4125,122.7727,1
ChristianG_7,44.501603,17.857098999999995,46.598931,29.535038,2.913206,26.686999999999998,4
CindyCrawford,49.028308,22.510385,38.450462,19.791538,7.5379999999999985,111.8,3
Clyburn,34.235923,33.397769,41.23161500000001,14.153692000000001,14.424923000000001,185.4,8
CourteneyCox,53.11048,20.1756,39.00608,17.2064,4.09232,118.52799999999999,1
Courtney,49.28542,22.643817000000002,42.117785999999995,21.008931,8.387252,114.1832,2
Cristiano,52.895725,26.409466,38.620228999999995,19.972748,6.879237,116.3359,7
CristiPedroche,30.691796999999998,12.708594,59.82484399999999,33.395938,3.477188,62.2969,4
DaniMateoAgain,34.949528,19.218583,50.177402,36.325276,9.626928999999999,60.3858,5
DANIROVIRA,41.76596,23.895051000000002,49.865253,30.071414,2.546667,50.5556,1
davidbisbal,30.825938,16.398359,55.912578,29.489921999999996,4.515391,87.9922,2
David_Busta,38.948976,7.8527559999999985,44.460865999999996,27.345827000000003,2.073937,102.7087,2
Diane_Keaton,46.955853999999995,23.499024,35.376179,23.747560999999997,4.934065,150.9431,1
DidacLee,45.053969,22.041985,48.950992,24.374426999999997,6.09,30.8244,6
drexlerjorge,45.088504,16.445826999999998,50.765276,25.71252,5.821339,61.3228,2
edans,42.444615,23.410769000000002,45.780231,24.745615,6.748308,43.5615,6
EdwardNorton,40.046439,22.142424,37.722196999999994,30.568258,7.855909,183.7727,1
EmWatson,52.53522099999999,37.277167999999996,35.290973,15.793009,5.702301,95.8673,1
enrique305,56.691163,34.262326,31.135697999999998,20.439651,11.337791000000001,92.1512,2
epunset,48.709282,19.606051,44.728513,19.387538,23.978462,84.9641,6
EvaLongoria,53.453713,28.015359000000004,38.52232100000001,16.655907,4.988903,117.1814,3
eva_hache,31.450854999999997,19.430342,45.490983,40.583162,8.332692,37.3419,1
FALCAO,31.891474,14.213368,53.373368000000006,24.296316,4.3483160000000005,72.8105,7
Fergie,49.077731,23.46084,45.670798,17.449202,3.6770169999999998,80.9454,2
FernandezAnibal,36.196989,24.505484,42.358816999999995,24.191613,8.664086,48.7849,8
fieritacatalano,38.91342,21.571861,46.979524,28.669524,6.160779,46.5541,6
foofighters,60.225087,22.309478,28.902609,14.337043,4.473304,18.2391,2
GeorgeHWBush,35.545054,20.424086,30.295484000000002,39.42279600000001,4.69871,57.6344,8
gwenstefani,56.815858999999996,22.932031,38.419375,13.961641,5.786875,87.8672,2
GwynethPaltrow,49.47,23.442595,30.96626,23.053053,9.577863,114.3435,1
